0x1c04e940:	0x191b1b1b	0x181b191b	0x191b1b19	0x1919191b
0x1c04e950:	0x191b191b	0x191b1b1b	0x19191b1b	0x1b1b1b19
0x1c04e960:	0x18191819	0x18181818	0x18181818	0x18181818
0x1c04e970:	0x18181818	0x18181818	0x18181818	0x18191818
0x1c04e980:	0x16171818	0x17171718	0x17171717	0x17171717
0x1c04e990:	0x17171717	0x17181718	0x17171717	0x17181718
0x1c04e9a0:	0x15171516	0x16171516	0x16161616	0x14161416
0x1c04e9b0:	0x16161716	0x15161516	0x15161617	0x16171617
0x1c04e9c0:	0x13151414	0x14141314	0x13141414	0x13131314
0x1c04e9d0:	0x14141314	0x14141415	0x13151415	0x14151414
0x1c04e9e0:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04e9f0:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ea00:	0x13131313	0x13131313	0x13131313	0x11131313
0x1c04ea10:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ea20:	0x11131313	0x13111311	0x12111313	0x11131313
0x1c04ea30:	0x12131113	0x13131213	0x13131313	0x13131313
0x1c04ea40:	0x11131112	0x12131111	0x12131213	0x13121113
0x1c04ea50:	0x12131111	0x11131213	0x13131313	0x13131313
0x1c04ea60:	0x11111112	0x11121111	0x11111112	0x11111111
0x1c04ea70:	0x13131211	0x11121213	0x13121213	0x12131213
0x1c04ea80:	0x11121113	0x11111111	0x13131111	0x11121112
0x1c04ea90:	0x11121113	0x11131111	0x12111212	0x13131312
0x1c04eaa0:	0x11111111	0x12131211	0x12131111	0x11121112
0x1c04eab0:	0x11111312	0x12111112	0x11121313	0x11121213
0x1c04eac0:	0x11131113	0x11131211	0x11111213	0x11111213
0x1c04ead0:	0x12111211	0x13121213	0x12131313	0x13131312
0x1c04eae0:	0x11121113	0x12111213	0x12121113	0x12111311
0x1c04eaf0:	0x12121312	0x12131212	0x12131213	0x13131313
0x1c04eb00:	0x11131313	0x13131313	0x13131313	0x13131313
0x1c04eb10:	0x13131313	0x11131213	0x12131313	0x13131313
0x1c04eb20:	0x12131313	0x13131313	0x13131313	0x13131313
0x1c04eb30:	0x13131313	0x13131313	0x13131313	0x13131313
